rules	time

1	4.521408
1	4.330629
1	4.684483
1	4.13173
1	4.386416
1	4.456369
1	4.440158
1	4.588908
1	4.416142
1	4.423561

6	3.948652
6	4.560153
6	3.890701
6	4.446619
6	3.649593
6	3.42916
6	4.24904
6	4.372326
6	5.094531
6	4.925996

11	4.612973
11	5.003501
11	4.325301
11	4.718265
11	4.849534
11	4.655356
11	4.615643
11	4.885732
11	5.498174
11	4.33627

16	3.968889
16	4.7767
16	5.389782
16	5.128332
16	4.174536
16	3.800908
16	4.647217
16	3.940351
16	4.144675
16	4.538818

21	4.158862
21	4.510579
21	4.899637
21	3.511825
21	4.461807
21	4.100617
21	3.644128
21	3.91806
21	4.931016
21	4.398035

26	4.257224
26	3.694712
26	3.452761
26	3.733396
26	3.821459
26	3.296396
26	3.539273
26	3.770496
26	4.238874
26	3.54672

31	3.298016
31	3.085534
31	3.394569
31	2.719523
31	2.989681
31	3.64508
31	3.877383
31	3.113451
31	3.371094
31	3.112292

36	2.568571
36	3.683376
36	2.636481
36	3.022924
36	3.393927
36	3.841155
36	3.024958
36	3.150407
36	3.15766
36	2.983876

41	2.842903
41	3.223221
41	3.377349
41	2.85486
41	2.788599
41	3.238168
41	3.405798
41	2.936998
41	3.470407
41	2.594808

46	2.350812
46	2.923187
46	3.236052
46	3.97642
46	3.141035
46	3.031297
46	2.364361
46	3.046441
46	3.158728
46	2.18239

51	2.842005
51	3.469409
51	2.502666
51	2.488381
51	1.805059
51	2.51766
51	2.570378
51	3.381145
51	1.979721
51	2.940329

56	1.836674
56	1.869021
56	2.354962
56	2.780642
56	2.578392
56	2.297859
56	1.976393
56	2.169392
56	2.729137
56	2.225404

61	2.11073
61	2.133392
61	1.731189
61	2.2276
61	2.183665
61	2.410578
61	2.14523
61	2.511051
61	2.280282
61	2.1486

66	1.976086
66	2.197253
66	1.614553
66	2.527953
66	1.683267
66	1.729416
66	1.714142
66	2.065285
66	1.513114
66	2.444154

71	1.933837
71	1.973711
71	1.865049
71	1.762949
71	1.438096
71	1.879446
71	1.820576
71	1.915947
71	1.882182
71	1.497445

76	1.616493
76	1.472029
76	1.552936
76	1.441176
76	1.607937
76	1.32861
76	1.57477
76	1.556172
76	1.546764
76	1.572102

81	1.507826
81	1.304139
81	1.553266
81	1.534133
81	1.56582
81	1.39637
81	1.783402
81	1.862164
81	1.576182
81	1.467977

86	1.451088
86	1.455698
86	1.444857
86	1.365969
86	1.429752
86	1.530602
86	1.330104
86	1.33546
86	1.328739
86	1.510696

91	1.371499
91	1.330154
91	1.341928
91	1.333862
91	1.320441
91	1.331631
91	1.305069
91	1.315424
91	1.309682
91	1.31261

96	1.308303
96	1.311233
96	1.342727
96	1.39149
96	1.313281
96	1.319416
96	1.315679
96	1.31677
96	1.309129
96	1.307298

101	1.300722
101	1.305634
101	1.316567
101	1.310528
101	1.309056
101	1.319919
101	1.3411
101	1.327907
101	1.319091
101	1.318437

106	1.307424
106	1.312003
106	1.313226
106	1.32297
106	1.308633
106	1.31133
106	1.317816
106	1.308017
106	1.304326
106	1.301708

111	1.346683
111	1.337993
111	1.312614
111	1.31271
111	1.314987
111	1.318547
111	1.306554
111	1.303622
111	1.311667
111	1.311618

116	1.322472
116	1.304404
116	1.314696
116	1.301147
116	1.340986
116	1.386485
116	1.320507
116	1.309721
116	1.305511
116	1.305373

121	1.301925
121	1.306584
121	1.297201
121	1.306151
121	1.319721
121	1.305683
121	1.306953
121	1.3273
121	1.320761
121	1.417173

126	1.312778
126	1.327144
126	1.321253
126	1.313378
126	1.307401
126	1.367326
126	1.306961
126	1.342168
126	1.400487
126	1.307406

131	1.338852
131	1.300185
131	1.303615
131	1.315936
131	1.305123
131	1.305023
131	1.31155
131	1.303867
131	1.305401
131	1.304968

136	1.303634
136	1.30015
136	1.300941
136	1.295349
136	1.320356
136	1.29849
136	1.29737
136	1.296444
136	1.307666
136	1.303671

141	1.303256
141	1.299821
141	1.31141
141	1.314276
141	1.303609
141	1.296777
141	1.307196
141	1.299012
141	1.300579
141	1.32068

146	1.312157
146	1.31427
146	1.306216
146	1.320726
146	1.310156
146	1.3092
146	1.315325
146	1.331722
146	1.305313
146	1.314512
