rules	time

1	5.288805
1	5.287499
1	5.310606
1	5.212788
1	5.205161
1	4.921585
1	5.216854
1	4.939479
1	5.215487
1	5.207951

6	4.811003
6	5.240242
6	4.838509
6	5.001657
6	4.647166
6	5.292607
6	5.28565
6	4.463151
6	5.428054
6	5.275433

11	3.766594
11	5.067628
11	5.342191
11	4.920887
11	4.734916
11	4.348478
11	5.104363
11	4.223486
11	3.695747
11	4.949809

16	4.269941
16	4.412805
16	4.523732
16	4.4616
16	4.270219
16	3.945614
16	4.846797
16	4.000932
16	4.100063
16	5.104078

21	3.715414
21	3.930631
21	4.961207
21	3.849691
21	4.308014
21	3.773789
21	3.837704
21	4.876111
21	4.06088
21	3.664305

26	3.5852
26	3.34135
26	3.562475
26	3.630352
26	3.954576
26	3.732824
26	4.321597
26	3.49139
26	3.562552
26	3.888538

31	3.755311
31	4.057935
31	4.515319
31	3.265123
31	2.6704
31	3.529227
31	4.133941
31	3.923172
31	3.758644
31	3.782041

36	3.739846
36	3.405505
36	4.267439
36	3.783531
36	3.647531
36	3.22788
36	3.310933
36	3.280555
36	2.972285
36	3.283182

41	3.459343
41	2.860979
41	3.817059
41	2.627216
41	3.617898
41	2.72503
41	2.647223
41	2.897425
41	3.315398
41	2.532862

46	3.949036
46	3.457362
46	3.668209
46	2.429047
46	2.339519
46	2.762409
46	3.221066
46	3.738353
46	2.429932
46	3.340446

51	3.297023
51	4.335944
51	2.51766
51	2.773873
51	2.557708
51	3.558442
51	2.592013
51	2.235646
51	2.816277
51	2.92562

56	2.713831
56	2.491126
56	2.492741
56	2.371423
56	2.41245
56	3.541302
56	2.8883
56	2.033142
56	2.729759
56	2.491905

61	2.943655
61	2.225125
61	2.18781
61	2.845357
61	1.971898
61	2.353964
61	2.462953
61	1.871352
61	2.081856
61	2.253641

66	2.161918
66	2.302041
66	2.455767
66	2.354656
66	2.214856
66	2.764886
66	2.138782
66	1.895192
66	2.033199
66	2.150052

71	2.027567
71	1.965485
71	1.646638
71	2.272104
71	1.584463
71	2.264825
71	2.30956
71	2.03162
71	1.758142
71	2.067625

76	1.871041
76	2.094359
76	2.121207
76	1.794296
76	1.815573
76	1.980716
76	1.760297
76	1.752387
76	2.089252
76	1.601453

81	1.609201
81	1.89115
81	2.673636
81	1.889606
81	1.946197
81	1.560721
81	1.86368
81	1.550785
81	1.693036
81	1.911974

86	1.693228
86	1.881877
86	1.665982
86	1.721967
86	1.569251
86	1.704719
86	1.730321
86	1.551544
86	1.610345
86	1.924293

91	1.588367
91	1.576549
91	1.573033
91	1.57214
91	1.581517
91	1.554226
91	1.560833
91	1.580052
91	1.578816
91	1.573228

96	1.582677
96	1.602744
96	1.590174
96	1.57962
96	1.561337
96	1.572334
96	1.588579
96	1.596232
96	1.563194
96	1.586191

101	1.575296
101	1.567429
101	1.593741
101	1.590662
101	1.581211
101	1.588185
101	1.569386
101	1.580117
101	1.584707
101	1.570996

106	1.586048
106	1.586275
106	1.591249
106	1.582228
106	1.682612
106	1.577735
106	1.584425
106	1.594386
106	1.571338
106	1.573285

111	1.566171
111	1.582579
111	1.580343
111	1.569314
111	1.585284
111	1.55485
111	1.645203
111	1.62324
111	1.613361
111	1.571577

116	1.582104
116	1.578655
116	1.569019
116	1.567636
116	1.577398
116	1.575881
116	1.579512
116	1.583337
116	1.580348
116	1.584565

121	1.608494
121	1.571031
121	1.566008
121	1.60038
121	1.585319
121	1.570684
121	1.573633
121	1.591957
121	1.57625
121	1.579595

126	1.570633
126	1.56999
126	1.5815
126	1.60488
126	1.589894
126	1.593907
126	1.59324
126	1.612572
126	1.581132
126	1.594842

131	1.592566
131	1.588807
131	1.618934
131	1.604569
131	1.574155
131	1.579455
131	1.597116
131	1.570453
131	1.578322
131	1.582975

136	1.574374
136	1.583575
136	1.570677
136	1.620329
136	1.586096
136	1.581773
136	1.582881
136	1.586136
136	1.568239
136	1.582734

141	1.578055
141	1.566908
141	1.569378
141	1.586836
141	1.580828
141	1.594558
141	1.579216
141	1.566735
141	1.581883
141	1.569261

146	1.565521
146	1.572391
146	1.571558
146	1.569498
146	1.588711
146	1.567755
146	1.589188
146	1.620444
146	1.581801
146	1.58454
