rules,time
1,15.639774
1,10.913549
1,11.098197
1,11.492081
1,29.706598
1,11.171744
1,10.122224
1,8.135591
1,11.325131
1,11.828115
6,8.561212
6,9.096586
6,31.580125
6,9.191877
6,27.107075
6,16.921821
6,53.456284
6,11.680882
6,14.022686
6,27.000608
11,18.56124
11,7.780806
11,32.229784
11,27.592438
11,8.749698
11,15.355381
11,8.559739
11,7.49617
11,19.960927
11,22.218967
16,20.346887
16,21.010194
16,18.51335
16,12.002431
16,22.410753
16,9.776444
16,24.788819
16,21.156548
16,9.475871
16,36.418073
21,27.839054
21,17.74446
21,17.837747
21,15.618243
21,7.146916
21,7.456567
21,6.263128
21,21.683957
21,12.409805
21,19.510956
26,6.943368
26,22.060855
26,28.655161
26,9.748313
26,12.292516
26,15.059022
26,9.941491
26,42.66861
26,15.482639
26,26.705383
31,21.975233
31,7.94736
31,8.3007
31,12.869578
31,8.567629
31,20.355976
31,25.683528
31,10.288454
31,17.45467
31,25.324522
36,28.232415
36,10.031165
36,53.429692
36,11.492623
36,26.572668
36,21.605601
36,10.290836
36,11.192595
36,43.91239
36,27.409812
41,6.971907
41,7.536751
41,7.510119
41,8.595321
41,7.683727
41,15.436479
41,18.108542
41,26.68054
41,28.632852
41,10.779481
46,11.520138
46,23.850244
46,20.704511
46,7.380247
46,18.394361
46,6.813242
46,14.39387
46,17.973117
46,8.664856
46,9.447519
51,20.591437
51,6.486888
51,6.95695
51,8.237862
51,8.554624
51,4.497571
51,13.328951
51,7.722183
51,7.09825
51,8.390991
56,18.455322
56,11.229523
56,4.788967
56,11.297453
56,12.098119
56,7.111436
56,14.208075
56,4.941319
56,15.751957
56,14.739206
61,11.177474
61,4.959096
61,8.663569
61,15.178522
61,19.519007
61,15.070151
61,5.297008
61,11.11527
61,5.369987
61,6.462067
66,11.346559
66,14.198232
66,8.987782
66,20.058972
66,5.588438
66,5.96934
66,12.084519
66,14.264805
66,20.705326
66,16.338576
71,6.265215
71,31.549691
71,13.298309
71,9.168147
71,8.382753
71,13.39902
71,7.91322
71,4.659135
71,9.916798
71,5.540166
76,4.323999
76,4.377417
76,15.118311
76,9.697805
76,4.873552
76,5.618266
76,10.156242
76,13.069216
76,10.552971
76,10.363623
81,10.836887
81,9.550475
81,10.364656
81,5.988977
81,6.473768
81,5.320382
81,4.109877
81,5.95865
81,13.540793
81,8.423595
86,4.219757
86,10.604844
86,4.481245
86,10.23567
86,6.111204
86,5.789298
86,10.703934
86,5.008967
86,11.612863
86,8.754364
91,6.204166
91,6.244041
91,6.289135
91,6.151412
91,6.315834
91,6.258839
91,6.20477
91,6.155275
91,6.065433
91,6.641061
96,7.191627
96,6.861622
96,6.911037
96,6.60743
96,7.423248
96,7.111417
96,6.343692
96,6.232737
96,6.082472
96,6.270867
101,6.165721
101,6.12549
101,6.127703
101,6.089694
101,6.127981
101,6.131032
101,6.074387
101,6.096477
101,6.27337
101,6.21037
106,6.035896
106,6.061748
106,6.064894
106,6.170151
106,6.152971
106,6.100616
106,6.112584
106,6.096911
106,6.092483
106,6.118072
111,6.042623
111,6.07489
111,6.097684
111,6.058179
111,6.001929
111,6.009631
111,6.032004
111,6.04697
111,6.129593
111,6.014131
116,6.054847
116,6.03225
116,6.029757
116,6.071705
116,6.042148
116,6.046546
116,6.032989
116,6.061588
116,6.021065
116,5.980933
121,6.020493
121,6.077441
121,6.044811
121,6.097878
121,6.181877
121,6.045165
121,6.008103
121,6.138794
121,6.053059
121,6.058054
126,6.03361
126,5.997424
126,6.096391
126,6.209365
126,6.660697
126,6.456006
126,6.440601
126,6.008918
126,6.199135
126,6.042594
131,6.020192
131,6.027059
131,6.077005
131,6.050246
131,5.996731
131,6.052824
131,6.011705
131,6.042948
131,6.083137
131,6.019922
136,6.000324
136,6.062595
136,6.030346
136,6.025055
136,6.027426
136,6.022822
136,6.094671
136,6.034509
136,6.184003
136,6.111876
141,6.100412
141,6.051801
141,6.06932
141,6.058363
141,6.063112
141,5.998585
141,6.081731
141,6.021496
141,6.022651
141,6.01028
146,6.006519
146,6.031272
146,6.05834
146,6.052377
146,6.058469
146,5.992082
146,6.030547
146,6.074383
146,6.076733
146,6.009537
