BU	BUN	BUNK	TD	TDN	TDNK
0.000142	0.000116	0.000129	0.000771	0.0003	0.001118
0.000126	8.7e-05	0.000107	0.000776	0.000296	0.000796
0.00013	9.8e-05	0.000119	0.001445	0.000611	0.000643
0.000124	8.9e-05	0.000108	0.000771	0.000402	0.00063
0.000156	8.2e-05	0.000167	0.000992	0.00033	0.000638
0.000135	7.2e-05	0.000175	0.000871	0.000411	0.001683
0.00012	0.000113	0.000142	0.001785	0.000358	0.000716
0.000145	7.7e-05	0.000173	0.001179	0.000423	0.00087
0.000124	0.00023	0.000121	0.000888	0.000435	0.000716
0.000307	0.00013	0.000137	0.000847	0.000356	0.000763
