BU	BUN	BUNK	TD	TDN	TDNK
0.033474	0.004143	0.035349	0.118497	0.02514	0.106198
0.031222	0.005903	0.028274	0.113951	0.026025	0.103368
0.028357	0.003032	0.025614	0.111979	0.02708	0.098141
0.040531	0.004914	0.02585	0.119361	0.033777	0.109164
0.038564	0.004785	0.03242	0.109573	0.023986	0.102162
0.037877	0.00301	0.024108	0.118401	0.031173	0.101814
0.030976	0.005625	0.031692	0.112896	0.02617	0.108506
0.035344	0.005923	0.032582	0.110718	0.034028	0.11352
0.037504	0.006595	0.025014	0.130531	0.025537	0.100115
0.044639	0.007445	0.03418	0.102543	0.032556	0.110016
