BU	BUN	BUNK	TD	TDN	TDNK
0.011164	0.005806	0.011063	0.074078	0.061409	0.063305
0.010792	0.01081	0.008426	0.072486	0.050296	0.062991
0.013906	0.005711	0.010476	0.068313	0.065405	0.061376
0.012583	0.005656	0.014415	0.059972	0.070783	0.056362
0.012699	0.007812	0.013116	0.083388	0.062932	0.064983
0.011596	0.006801	0.007789	0.076475	0.04818	0.061572
0.01251	0.007506	0.012791	0.078503	0.047378	0.080594
0.01035	0.00918	0.008766	0.071433	0.049341	0.060046
0.014015	0.005991	0.008603	0.064088	0.06873	0.067303
0.009774	0.005921	0.010203	0.073245	0.062684	0.069839
