BU	BUN	BUNK	TD	TDN	TDNK
0.014586	0.005513	0.008083	0.078334	0.059828	0.064252
0.010537	0.010382	0.01103	0.073621	0.049227	0.065902
0.01277	0.005701	0.008013	0.073149	0.061344	0.065441
0.010939	0.007757	0.007998	0.06177	0.060068	0.065217
0.011569	0.005606	0.010874	0.078098	0.06005	0.073951
0.012654	0.007493	0.012514	0.088997	0.060347	0.074346
0.013151	0.014151	0.01186	0.076895	0.057707	0.064026
0.01234	0.006333	0.009201	0.082618	0.065261	0.078447
0.010753	0.014607	0.011987	0.099172	0.051543	0.058117
0.014201	0.005529	0.009993	0.069972	0.049675	0.064695
